Date,NASDAQ,Inflation_Rate
15/5/2015,5048.290039,237.001
16/5/2015,,237.001
17/5/2015,,237.001
18/5/2015,5078.439941,237.001
19/5/2015,5070.029785,237.001
20/5/2015,5071.740234,237.001
21/5/2015,5090.790039,237.001
22/5/2015,5089.359863,237.001
23/5/2015,,237.001
24/5/2015,,237.001
25/5/2015,,237.001
26/5/2015,5032.75,237.001
27/5/2015,5106.589844,237.001
28/5/2015,5097.97998,237.001
29/5/2015,5070.029785,237.001
30/5/2015,,237.001
31/5/2015,,237.001
1/6/2015,5082.930176,237.657
2/6/2015,5076.52002,237.657
3/6/2015,5099.22998,237.657
4/6/2015,5059.120117,237.657
5/6/2015,5068.459961,237.657
6/6/2015,,237.657
7/6/2015,,237.657
8/6/2015,5021.629883,237.657
9/6/2015,5013.870117,237.657
10/6/2015,5076.689941,237.657
11/6/2015,5082.509766,237.657
12/6/2015,5051.100098,237.657
13/6/2015,,237.657
14/6/2015,,237.657
15/6/2015,5029.970215,237.657
16/6/2015,5055.549805,237.657
17/6/2015,5064.879883,237.657
18/6/2015,5132.950195,237.657
19/6/2015,5117.0,237.657
20/6/2015,,237.657
21/6/2015,,237.657
22/6/2015,5153.970215,237.657
23/6/2015,5160.089844,237.657
24/6/2015,5122.410156,237.657
25/6/2015,5112.189941,237.657
26/6/2015,5080.509766,237.657
27/6/2015,,237.657
28/6/2015,,237.657
29/6/2015,4958.470215,237.657
30/6/2015,4986.870117,237.657
1/7/2015,5013.120117,238.034
2/7/2015,5009.209961,238.034
3/7/2015,,238.034
4/7/2015,,238.034
5/7/2015,,238.034
6/7/2015,4991.939941,238.034
7/7/2015,4997.459961,238.034
8/7/2015,4909.759766,238.034
9/7/2015,4922.399902,238.034
10/7/2015,4997.700195,238.034
11/7/2015,,238.034
12/7/2015,,238.034
13/7/2015,5071.509766,238.034
14/7/2015,5104.890137,238.034
15/7/2015,5098.939941,238.034
16/7/2015,5163.180176,238.034
17/7/2015,5210.140137,238.034
18/7/2015,,238.034
19/7/2015,,238.034
20/7/2015,5218.859863,238.034
21/7/2015,5208.120117,238.034
22/7/2015,5171.77002,238.034
23/7/2015,5146.410156,238.034
24/7/2015,5088.629883,238.034
25/7/2015,,238.034
26/7/2015,,238.034
27/7/2015,5039.779785,238.034
